,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Linux,Python,Java,C,Web,Sql,App,Mysql,Oracle
10,可靠性测试工程师,测试,6750.0,中名（东莞）电子有限公司,东莞,2.0,大专,、英文良好(能对客人提供的试验资料和测试报告进行中英文互译），2年以上从事耳机试验相关工作 2、熟悉产品试验及相关国家国际标准3、熟悉产品试验相关设备的操作和维护4、有对试验中出现的异常进行分析及解决相关问题的能力5、从事过耳机产品相关测试优先考虑职责：1.对新产品、新客户数据进行评估，以确定试验室现有设备/能力是否满足测试要求。对新试验项目的方法进行研究，准备新项目可靠性测试所需要的物料及工夹具，确保新项目可靠性测试顺利导入。2.设计试验工夹具和改良目前使用的工夹具，促进试验标准化及提升试验能力。3.对技术员/试验员进行试验方法/标准等培训，并在试验过程中对其进行相关的指导，确保试验的正确性。4.对可靠性试验结果进行确认审核.5.对客户提供的RTP英文数据进行翻译确保试验员能正确理解按要求作业，并提供英文的可靠性试验报告,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,APP测试工程师,测试,9000.0,武汉电动汽车技术开发有限公司,武汉,2.0,本科,、负责公司移动APP测试工作；2、2年以上app开发经验，本科以上学历。3、熟悉React Native移动端（IOS，Android）开发。4、在Android、IOS方面有丰富的自动化测试相关经验。5、至少一年以上android/iOS测试工作经验薪酬福利待遇：工资+绩效奖金+相关福利及补贴 1、公司实行年度至少13薪工资标准，购买五险一金，每天工作7小时；2、公司提供工作餐补贴（20元/天），特殊津贴（高温补贴、交通补贴等），另有工龄工资； 3、公司宿舍：公司免费为外地单身员工提供员工宿舍，1-2人/间（带独立卫生间、空调、热水器等）； 4、每年2次优秀员工评选，除工资涨幅及优秀员工奖金外，另奖励商业医疗保险； 5、公司提供员工年度1次专业健康体检；6、公司提供带薪年假，国家规定的各类节假日及节日福利（传统佳节），定期举办各类文娱活动，如团队旅游与拓展、员工生日会等； 7、每月定期举办两次员工体育活动，加强员工健身及团队协作能力；8、公司每年有至少1次调薪机会。 公司地址：武汉东湖新技术开发区金融港二路,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,功能测试工程师（南京）,测试,12500.0,上海欧菲智能车联科技有限公司,南京,0.0,无,、根据测试文档和测试资料，在上级人员指导下执行产品功能测试任务；2、根据测试资料，编写/完善测试用例、提交测试数据和测试报告，并上传SVN；3、将测试过程中发现的问题点更新并提交QC系统，协助软件/模型进行问题定位及整改；4、协助完成工作中临时安排的其他任务。任职要求：1. 电子类或车辆工程类专业大专以上学历，***；2. 应届毕业生或三年以下工作经验； 3. 能吃苦耐劳、顶得住压力，可以接受和适应出差。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,手机软件测试工程师,测试,7000.0,深圳市鹏润汛科技有限公司,深圳,0.0,无,岗位职责1、负责手机软件功能、性能、稳定性及相关软件的测试；2、负责撰写测试计划、测试用例、测试报告；3、收集并整理BUG，协助开发工程师对所提Bug进行修改和验证，跟踪促进Bug解决。任职资格1、计算机、电子、通讯等相关专业专科及以上学历；2、1年以上Android，IOS平台手机软件测试经验，有MTK/展讯/高通平台手机测试经验者优先考虑；3、熟悉软件测试流程及操作方法，有相关的系统测试、应用测试、兼容性测试、稳定性测试等测试经验；4、了解手机的相关硬件配置和手机工作原理，良好的文档编写习惯；5、有一定的测试规划能力，并能独立承担测试项目；6、热爱手机/平板软件测试工作，可以胜任重复性工作，性格开朗，工作责任心强，有耐心，积极主动性较高，具有一定的抗压能力。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,测试工程师,测试,7500.0,长沙丹芬瑞电气技术有限公司,长沙,0.0,无,任职要求：1、本科及以上学历，计算机、电子、自动化等相关专业；2、2年以上嵌入式软、硬件测试经验，熟悉嵌入式体系结构，1年以上系统测试工程师工作经验，有开关电源产品、变频产品、无线通讯测试协议（如485/CAN通讯）测试经验者可放宽条件；3、能看懂模拟电路，对数字电路能分析其原理，具备一定的硬件制图能力；4、语言表达能力、团队协作能力较强。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,产品测试工程师,测试,14583.33,上海凯利泰医疗科技股份有限公司,上海,3.0,本科,"工作职责:1、负责测试计划与测试方案的编写；2、负责测试用例的编写与评审；3、负责执行测试用例，跟踪软件缺陷并反馈给开发人员，提交测试报告；4、参与项目前期的需求文档、界面原型的测试与验证；5、参与功能自动化设计及测试，以及性能、安全性测试；6、根据测试结果完成测试报告，提出软件优化意见；7、参与测试工艺的改进，以提高团队的测试水平。任职资格:1、本科及以上学历,熟知超声测试相关标准2、3年以上超声设备测试工作经验3.具有较强的文档编辑能力，能够完成产品整机的设计验证和确认计划及测试草案。4.英语四级以上，具备良好的读写能力，听说熟练者优先。5.具有医疗器械行业工作经验者优先",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,渗透测试工程师,测试,7000.0,上海银基信息安全技术股份有限公司,长沙,1.0,大专,工作职责：1. 负责新安全漏洞研究、挖掘、验证。2. 负责最新渗透测试技术学习、研究。3. 负责公司安全服务类项目的实施与交付。任职要求：1. 1年以上渗透测试、漏洞挖掘相关工作经验；2. 对网络安全攻防技术具有浓厚的兴趣，立志于该领域的发展；3. 对各类操作系统、应用系统的漏洞有较深理解；4. 熟悉一种编程语言，JAVA、PHP、C/C++、Python、Perl等；5. 能独立进行安全漏洞跟踪、分析和研究；6. 能处置常见安全应急事件及热点事件跟踪；7. 为人诚恳踏实，具有团队合作和分享精神。受关注的加分项：1. 擅长代码审计，逆向工程、后渗透、病毒木马分析、APP脱壳，有技术类文章发表；2. 公开的代码平台上有自己的优秀作品;3. 拥有CVE、CNVD、CNVVD类漏洞证书,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
17,ATE测试工程师,测试,33333.33,诺领科技（北京）有限公司,北京,8.0,硕士,"主要责任1.参与各种功能自动测试的设计和开发，主要是针对SoC 芯片内部不同功能电路比如: 射频发送器, 射频接收器, 电源管理器等。2.了解和掌握基本测试原理和要求，并能够优化测试平台。3.芯片的功能校核和测试的验证。4.测试电路版的设计，验证以及错误纠正，它包括芯片基本功能测试版，芯片可靠性电路版，晶园测试中用的探针卡以及产生中ATE用的测试版。5.了解半导体芯片合格检测，失效分析以及一系列可靠性分析的流程。6.熟悉测试相关性的研究，芯片全方位功能分析，以及DOE 和 GageR&R (重复性和再生性)。7.文献记载所有产品开发有关的文件。8.各种测试数据的采集，分析并且分享给公司内部不同职能的团队以及各方面的合作提供商。9.工程和客户芯片样品采集，客户反回芯片的错误分析与支持，新产品的推出以及初始产品量产支持。10.降低芯片大规模量产成本以及生产指标不断提升。 资格要求1.了解无线通信高集成糸统芯片和接收发器工作原理，以及具备基本相关的实际工作经验。2.实际射频接收发器故障排除和检测。3.熟练掌握自动测试开发用到的编程语言, 比如, C++, Python, VBT 等。4.具备坚实测试数据分析基础和能力。5.制定测试方案，测试程序和测试结果报告。6.熟练操作各种实验室设备及仪器。7.良好的交通和表达沟通能力。8.具备挑战和解决技术难题的愿望和能力。希望具备的背景和资力1.对数字，混频以及射频电路及高集成系统芯片中主要的功能模块有着扎实的理论基础和经验。2.熟悉无线通信领域主要广泛应用标准及测试要求。3.对芯片测装技术有一定了解。4.基本知道大规模IC 量产中应用到自动测试设备  (ATE-Automatic Test Equipments), 比如Teradyne J750,  Chroma 33xx。 AdvanTest  93K, Teradyne  IFlex & UFlex etc.5.了解嵌入式系统的工作原理及其应用软件，并有至少三年的实际经验。6.有和晶园厂，封装，测试厂家的工作经历和经验。8.电子工程硕士，8年以上的相关实际工作经验。",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,测试经理,测试,27500.0,上海微食信息科技有限公司,上海,5.0,本科,工作职责：1. 负责带领QA团队确保开发团队高质量的交付；2.重大质量事故的跟踪、复盘、以及后续改进优化措施的推动落地（跨团队）；3. 指导团队完成测试方案设计及测试用例编写，合理规划团队资源；4. 发现并预警潜在的质量问题；5. 优化现有研发过程中的方法、流程及规范，帮助提升开发团队的效率；岗位要求：1. 全日制本科及以上学历，计算机科学或者相关专业；2. 5年以上软件测试，熟悉软件测试流程和测试过程管理，能够编写测试计划，具备组织测试工作的能力；3. 熟悉IOS或Andriod手机平台的测试方法及流程；4. 具有性能测试，自动化测试的理论及方法者优先；5.具有高可用场景测试经验者优先；6. 具有快速解决问题的能力，并具备较宽的知识面；7. 具有优秀的跨团队沟通，协作的能力；责任心强，能够承受较大的工作压力；8. 有互联网，内容&社区&电子商务领域开发经验者优先。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,测试系统开发工程师,测试,11500.0,江苏有感科技有限责任公司,南通,2.0,本科,、 负责汽车无线充电产品的测试需求分析，并制定自动化测试方案； 2、 负责汽车无线充电自动测试平台（ATE）的软件开发； 3、 负责测试设备的集成，包括设备选型、接口规范和系统功能验证； 4、 参与电动汽车无线充电系统的性能、可靠性和安规测试； 负责测试流程相关文档的编写，以及测试人员培训和指导。任职条件：1、 熟练掌握功率分析仪、示波器、电子负载、模拟电源等测试仪器设备，熟悉电子线路原理图、电气原理图； 2、 计算机编程和网络技术基础扎实，有相关工作经验； 3、 熟悉GPIB、CAN、RS232/485、USB、Ethernet等通信接口； 4、 本科及以上学历，电气、电子、自动化等相关专业，二年及以上工作经验； 良好的沟通能力和团队合作精神，英语读写良好。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,项目组辅助测试专员/可应届,测试,5250.0,海口棕海项目建设投资有限公司,深圳,0.0,大专,"岗位要求：1、必须是大专及以上学历，20-28周岁，专业不限，有无经验皆可；2，有意向往互联网行业发展熟悉公司网站及做好公司网站运营测试和安全工作；3，前期协助项目经理做测试公司网站及APP，根据项目经理写出步骤，执行操作找出bug.3、有良好的沟通能力和学习能力，团队工作融洽有效；4、学习能力强、工作踏实、具有责任心及团队合作意识；5、可接收转行，经福利待遇：1、按照国家相关政策为员工缴纳五险一金,5天8小时工作制,无加班,双休；2、提供统一标准的工作餐补贴，12元/天（或包餐）；3、带薪休假（法定节假日，年假，婚假，丧假，病假等）；4、公司注重员工培养，给予晋升机会，管理层主要从基层员工中培养、提拔。5、转正后薪资达5000+项目提成+绩效奖金；6、公司提供吃住+餐补和下午茶；上班时间：早上9点-下午6点，周末休息",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,手机软件测试工程师+住宿,测试,8000.0,深圳市瑞奇讯科技有限公司,深圳,0.0,无,"工作内容：1,负责手机的功能测试、性能测试、可靠性测试以及场测;2,对手机开发各阶段进行质量检测和监控，并提交Bug和相应测试报告;3,参加测试用例编写，参加测试计划制定;4,协助开发工程师对所提Bug进行修改和验证，跟踪促进Bug解决；职位要求：1，熟悉手机的场测、功能测试和性能测试。工作细心且有耐心，具有良好的沟通能力;2，有一定的测试规划能力，并能独立承担测试项目；3，可接受应届生；4，入职后有提供宿舍，工作时间：早上9：00-18：00，中午休息2小时，周六日双休",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,测试工程师,测试,12500.0,上海浩方信息技术有限公司,北京,3.0,本科,、全日制本科及以上学历，3年以上测试经验；2、精通软件测试流程、测试用例设计方法，对bug敏感度高；3、熟悉Linux操作系统，熟练掌握其常用操作命令，能够搭建基于Linux的测试环境；4、熟练运用增、删、改、查SQL语句，了解数据库原理；5、有良好的程序阅读能力，至少可以读懂一种脚本语言，如Python、shell等；6、对自动化、接口测试有深入的了解，有相关测试经验者优先；7、对软件性能要求敏感，了解性能测试方法，至少了解jmeter、loadrunner等一种工具的工作原理；8、了解分布式架构，了解Nginx、Tomcat等中间件的工作原理及性能调优；9、有强烈的责任心，优秀的表达能力及沟通能力，较强的学习和理解能力，能独立分析和解决问题；10、了解通信相关业务优先。,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,高级测试工程师,测试,9000.0,微活（苏州）科技有限公司,苏州,2.0,本科,"职位要求1.本科或以上学历,电子工程或计算机等相关专业。2.2年以上项目测试经验,对质量管理有一定理解。3.熟悉常用软件测试工具,熟悉测试分析技术,有较强的逻辑分析能力和总结能力。4.规范编写项目测试计划、测试用例、测试报告,熟悉常用缺陷管理工具。5.热爱软件测试工作,工作耐心、细致、认真。6.善于沟通,富于团队合作精神,责任心强。7.熟悉perl，python或其他脚本语言者优先考虑。8.熟悉Linuxshell和windowsbat的使用者优先考虑。9.熟悉SQLSERVER或ORACLE等数据库的优先考虑。工作内容1.编写测试计划、规划详细的测试方案、编写测试用例。2.根据测试计划搭建和维护测试环境；3.执行测试工作，提交测试报告。包括编写用于测试的自动测试脚本，完整地记录测试结果，编写完整的测试报告等相关的技术文档；4.对测试中发现的问题进行详细分析和准确定位，与开发人员讨论缺陷解决方案。5.提出对产品的进一步改进的建议，并评估改进方案是否合理；对测试结果进行总结与统计分析，对测试进行跟踪，并提出反馈意见。6.为业务部门提供相应技术支持，确保软件质量指标",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,Java Test Manager（测试经理）,测试,20000.0,信必优(深圳)信息技术有限公司,广州,5.0,本科,年以上测试经验；2. 熟练单元及性能测试等；3. 良好的英语读写能力；4. 有微信小程序测试经验者优先；5. 有微信公众号及企业微信测试经验者优先；6. 具备敏捷开发技能的优先考虑。1. At least 5 years testing experience.2. Professional on individual/performance testing skill.3. Good at English reading & writing.4. With WeChat mini program testing experience is most preferred.5. With WeChat Official Account and Enterprise Wechat testing experience is much preferred.6. W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,测试工程师 (手机主板)- 盐田,测试,7000.0,深圳市泰衡诺科技有限公司,深圳,3.0,大专, 一岗位职责:1.负责与项目部，PMC的沟通工作，保证每日计划的合理性；2.负责设备资产维护和管理；3.负责生产测试夹具的管理，维修，保养和物料申购； 4.完成上级领导分配的工作任务等；二岗位职责: 1.维修员人员日常管理，维修工具设备管理及现场5S。 2.主板维修故障分析报告与技术指导。 3.维修员计件制报表管理有据可依。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,整车测试工程师,测试,12500.0,北京经纬恒润科技有限公司,北京,0.0,本科,						岗位职责:1.研究汽车电子测试技术，学习MIL/SIL/HIL、部件/台架/实车测试知识及流程；2.负责整车（车身、娱乐、动力、底盘等）功能、电性能测试；3.负责整车总线（CAN、LIN、Ethernet等）通信、诊断测试；4.负责自动驾驶、智能网联、功能安全等前沿测试技术实施；5.负责测试用例制定、测试脚本开发及调试、测试实施、问题分析及整理；6.负责车载总线自动化测试设备开发。 任职资格:1.本科及以上学历，汽车、自动化、测控、通信、计算机等工科专业；2.具备较好的软硬件知识，具有软件（如C或主流的电控建模软件）开发经验者优先。,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,抗菌测试检测工程师,测试,7000.0,华测检测认证集团股份有限公司,上海,2.0,大专,食品、生物或微生物相关专业，专科及以上学历，有抗菌测试工作经验2年以上优先；2.熟悉微生物相关知识，能熟练进行微生物无菌操作；3.能吃苦耐劳，做事认真，有责任心，执行能力强；4.熟悉国内外相关纺织品及抗菌加工制品的抗菌防霉测试标准，能熟练进行抗菌防霉测试；5.熟悉防腐性能测试、消毒剂、抗菌日化产品抗菌性能测试。任职要求：1.负责相关抗菌检测工作；2.负责原始记录的填写及数据处理；3.负责相关抗菌测试的新方法开发。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,汽车通信测试工程师,测试,6250.0,西安弗卡斯数据科技有限公司,西安,0.0,本科,熟悉C/C++编程。3.具备较强的沟通能力和主动学习能力。3.能够长期出差或具备总线通讯知识者优先。职能类别：										软件工程师																			软件测试									关键字：通信工程通信测试测试脚本开发,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,APP测试工程师,测试,6500.0,江西九一五信息技术有限公司广州分公司,广州,1.0,大专,1、负责对iOS、Android、Web端产品的测试任务2、分析测试结果，发现产品体验的问题并跟进解决3、负责建立测试部门的测试环境，提升测试效率，并持续优化任职要求：1、1年以上移动客户端测试的工作经历2、掌握常用的测试理论、方法和工具3、善于分析问题、分配任务优先级4、具备较强的语言表达、文档撰写、逻辑分析能力和学习能力职能类别：										其他									关键字：测试产品测试,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,测试工程师,测试,7000.0,深圳市凌科电气有限公司,深圳,2.0,大专,岗位职责：1、实验室检验员日常工作管理；2、组织专业培训，提升检验员操作技能；3、确保研发设计和在制成品符合工程设计的要求，达到并发现异常的标准要求；4、品质测试月报告、季度报告、年度报告；,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,（应届生）游戏/IT测试助理/储干,测试,3750.0,深圳市赢电科技有限公司,深圳,0.0,大专,岗位职责：1、参与游戏测试项目，辅助测试工程师进行功能测试；2、协助Bug及时解决。任职要求：1、大专在读或以上学历，21-28岁；2、计算机相关专业，有一定的逻辑思维能力；3、具有良好的职业道德，工作细心，责任心强；福利待遇：1、五天7.5小时小时工作制，周末双休，享受法定节假日以及节日福利；2、试用2~3个月，基本底薪4500~6000，入职享受国家规定的五险一金；3、每月举行员工生日会，季度出国旅游，定期公司聚餐；4、五险一金，带薪休假，人身意外伤害商业保险等；5、可享受公司组织的：国内外旅游、部门聚餐、公司聚餐、年底分红、国外年会等等！6、舒适的办公坏境；优越的福利保障；富有竞争力的薪酬；7、完善的员工内训制度，高效的工作环境和氛围；定期组织员工参与旅游、丰富员工的工作生活。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,测试工程师,测试,,东吴证券股份有限公司,苏州,0.0,无,工作职责:1、负责用户端系统的功能测试、集成测试、压力测试以及性能测试；2、负责设计自动化测试框架、开发自动化测试用例；3、负责确定系统的验收标准、系统的测试计划、编写测试用例、编写测试报告；4、负责完成上级领导安排的其他工作。任职资格:1、全日制211本科及以上学历，计算机相关专业；2、具有3年以上软件测试经验，熟悉软件工程理论，熟悉软件测试流程和测试工具；3、熟悉各种主流系统的自动化测试工具及架构，至少一年的互联网客户端自动化测试开发经验；4、具有项目管理经验、敏捷软件开发经验、互联网行业从业经验者优先。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
